dataset active_matter: 12950 clips, spec=ClipSpec(n_channels=11, n_frames=8, height=256, width=256)
step 2200/5000 lr=4.40e-05 loss=0.1346 target_feat_std=0.9179 context_feat_std=0.9478 pred_feat_std=0.7500 clips/s=198.3
step 2250/5000 lr=4.50e-05 loss=0.1374 target_feat_std=0.9200 context_feat_std=0.9498 pred_feat_std=0.7344 clips/s=111.5
step 2300/5000 lr=4.60e-05 loss=0.1467 target_feat_std=0.9250 context_feat_std=0.9518 pred_feat_std=0.7422 clips/s=253.5
step 2350/5000 lr=4.70e-05 loss=0.1242 target_feat_std=0.9274 context_feat_std=0.9517 pred_feat_std=0.7773 clips/s=216.9
step 2400/5000 lr=4.80e-05 loss=0.1303 target_feat_std=0.9317 context_feat_std=0.9542 pred_feat_std=0.7812 clips/s=178.2
step 2450/5000 lr=4.90e-05 loss=0.1350 target_feat_std=0.9361 context_feat_std=0.9564 pred_feat_std=0.7695 clips/s=137.8
step 2500/5000 lr=5.00e-05 loss=0.1149 target_feat_std=0.9331 context_feat_std=0.9533 pred_feat_std=0.7969 clips/s=244.7
step 2550/5000 lr=5.10e-05 loss=0.1170 target_feat_std=0.9375 context_feat_std=0.9553 pred_feat_std=0.7930 clips/s=180.0
step 2600/5000 lr=5.20e-05 loss=0.1091 target_feat_std=0.9382 context_feat_std=0.9533 pred_feat_std=0.8008 clips/s=210.6
step 2650/5000 lr=5.30e-05 loss=0.1121 target_feat_std=0.9416 context_feat_std=0.9546 pred_feat_std=0.8047 clips/s=135.1
step 2700/5000 lr=5.40e-05 loss=0.1090 target_feat_std=0.9408 context_feat_std=0.9525 pred_feat_std=0.8047 clips/s=225.6
step 2750/5000 lr=5.50e-05 loss=0.1142 target_feat_std=0.9471 context_feat_std=0.9562 pred_feat_std=0.8164 clips/s=211.6
step 2800/5000 lr=5.60e-05 loss=0.1175 target_feat_std=0.9463 context_feat_std=0.9541 pred_feat_std=0.8086 clips/s=204.9
