dataset active_matter: 12950 clips, spec=ClipSpec(n_channels=11, n_frames=8, height=256, width=256)
model: mae, 26.4M trainable params
step 50/5000 lr=3.92e-06 loss=1.3046 clips/s=73.0
step 100/5000 lr=7.92e-06 loss=1.2390 clips/s=217.8
step 150/5000 lr=1.19e-05 loss=1.1733 clips/s=219.0
step 200/5000 lr=1.59e-05 loss=1.1103 clips/s=218.9
step 250/5000 lr=1.99e-05 loss=1.0569 clips/s=194.0
step 300/5000 lr=2.39e-05 loss=1.0228 clips/s=214.3
step 350/5000 lr=2.79e-05 loss=1.0061 clips/s=215.2
step 400/5000 lr=3.19e-05 loss=1.0011 clips/s=213.2
step 450/5000 lr=3.59e-05 loss=0.9979 clips/s=200.1
step 500/5000 lr=3.99e-05 loss=0.9988 clips/s=216.2
step 550/5000 lr=4.39e-05 loss=0.9815 clips/s=211.7
step 600/5000 lr=4.79e-05 loss=0.9614 clips/s=208.4
step 650/5000 lr=5.19e-05 loss=0.9507 clips/s=195.5
step 700/5000 lr=5.59e-05 loss=0.9250 clips/s=212.0
step 750/5000 lr=5.99e-05 loss=0.8763 clips/s=219.4
step 800/5000 lr=6.39e-05 loss=0.8505 clips/s=205.8
step 850/5000 lr=6.79e-05 loss=0.8425 clips/s=195.6
step 900/5000 lr=7.19e-05 loss=0.7514 clips/s=212.4
step 950/5000 lr=7.59e-05 loss=0.7821 clips/s=215.8
step 1000/5000 lr=7.99e-05 loss=0.7875 clips/s=213.9
step 1050/5000 lr=8.39e-05 loss=0.7652 clips/s=197.7
step 1100/5000 lr=8.79e-05 loss=0.7056 clips/s=212.7
step 1150/5000 lr=9.19e-05 loss=0.7491 clips/s=212.6
step 1200/5000 lr=9.59e-05 loss=0.7106 clips/s=212.5
step 1250/5000 lr=9.99e-05 loss=0.7091 clips/s=196.4
step 1300/5000 lr=1.04e-04 loss=0.6726 clips/s=212.5
step 1350/5000 lr=1.08e-04 loss=0.6920 clips/s=211.7
step 1400/5000 lr=1.12e-04 loss=0.6317 clips/s=212.3
step 1450/5000 lr=1.16e-04 loss=0.6513 clips/s=197.2
step 1500/5000 lr=1.20e-04 loss=0.6138 clips/s=215.9
step 1550/5000 lr=1.24e-04 loss=0.5962 clips/s=218.0
step 1600/5000 lr=1.28e-04 loss=0.6347 clips/s=212.3
step 1650/5000 lr=1.32e-04 loss=0.6200 clips/s=186.1
step 1700/5000 lr=1.36e-04 loss=0.5753 clips/s=227.9
step 1750/5000 lr=1.40e-04 loss=0.6095 clips/s=210.0
step 1800/5000 lr=1.44e-04 loss=0.5649 clips/s=215.6
step 1850/5000 lr=1.48e-04 loss=0.5770 clips/s=189.6
step 1900/5000 lr=1.52e-04 loss=0.5285 clips/s=224.3
step 1950/5000 lr=1.56e-04 loss=0.5420 clips/s=210.3
step 2000/5000 lr=1.60e-04 loss=0.5283 clips/s=212.9
step 2050/5000 lr=1.64e-04 loss=0.5420 clips/s=177.1
step 2100/5000 lr=1.68e-04 loss=0.5264 clips/s=236.3
step 2150/5000 lr=1.72e-04 loss=0.5475 clips/s=210.3
step 2200/5000 lr=1.76e-04 loss=0.5100 clips/s=206.6
