dataset active_matter: 12950 clips, spec=ClipSpec(n_channels=11, n_frames=8, height=256, width=256)
model: mae, 26.4M trainable params
step 4550/5000 lr=4.55e-05 loss=0.5705 clips/s=210.1
step 4600/5000 lr=4.60e-05 loss=0.5820 clips/s=203.5
step 4650/5000 lr=4.65e-05 loss=0.5439 clips/s=134.0
step 4700/5000 lr=4.70e-05 loss=0.5807 clips/s=194.1
step 4750/5000 lr=4.75e-05 loss=0.5652 clips/s=212.0
step 4800/5000 lr=4.80e-05 loss=0.5889 clips/s=184.6
step 4850/5000 lr=4.85e-05 loss=0.5029 clips/s=140.1
step 4900/5000 lr=4.90e-05 loss=0.5382 clips/s=200.6
step 4950/5000 lr=4.95e-05 loss=0.5116 clips/s=206.5
step 5000/5000 lr=5.00e-05 loss=0.5733 clips/s=167.4
training complete
