dataset active_matter: 12950 clips, spec=ClipSpec(n_channels=11, n_frames=8, height=256, width=256)
model: mae, 26.4M trainable params
step 50/5000 lr=1.96e-06 loss=1.3193 clips/s=67.9
step 100/5000 lr=3.96e-06 loss=1.2773 clips/s=216.8
step 150/5000 lr=5.96e-06 loss=1.2288 clips/s=214.1
step 200/5000 lr=7.96e-06 loss=1.1829 clips/s=212.4
step 250/5000 lr=9.96e-06 loss=1.1362 clips/s=201.3
step 300/5000 lr=1.20e-05 loss=1.0932 clips/s=215.3
step 350/5000 lr=1.40e-05 loss=1.0571 clips/s=213.9
step 400/5000 lr=1.60e-05 loss=1.0311 clips/s=215.3
step 450/5000 lr=1.80e-05 loss=1.0138 clips/s=188.9
step 500/5000 lr=2.00e-05 loss=1.0054 clips/s=209.8
step 550/5000 lr=2.20e-05 loss=1.0006 clips/s=205.8
step 600/5000 lr=2.40e-05 loss=0.9989 clips/s=210.1
step 650/5000 lr=2.60e-05 loss=0.9971 clips/s=187.4
step 700/5000 lr=2.80e-05 loss=0.9917 clips/s=219.0
step 750/5000 lr=3.00e-05 loss=0.9744 clips/s=219.2
step 800/5000 lr=3.20e-05 loss=0.9605 clips/s=220.7
step 850/5000 lr=3.40e-05 loss=0.9552 clips/s=189.6
step 900/5000 lr=3.60e-05 loss=0.9049 clips/s=211.3
step 950/5000 lr=3.80e-05 loss=0.9121 clips/s=215.6
step 1000/5000 lr=4.00e-05 loss=0.8957 clips/s=213.4
step 1050/5000 lr=4.20e-05 loss=0.8668 clips/s=189.7
step 1100/5000 lr=4.40e-05 loss=0.8088 clips/s=215.8
step 1150/5000 lr=4.60e-05 loss=0.8323 clips/s=217.5
step 1200/5000 lr=4.80e-05 loss=0.7922 clips/s=219.7
step 1250/5000 lr=5.00e-05 loss=0.7917 clips/s=191.3
step 1300/5000 lr=5.20e-05 loss=0.7672 clips/s=208.1
step 1350/5000 lr=5.40e-05 loss=0.7789 clips/s=215.8
step 1400/5000 lr=5.60e-05 loss=0.7314 clips/s=220.9
step 1450/5000 lr=5.80e-05 loss=0.7429 clips/s=188.4
step 1500/5000 lr=6.00e-05 loss=0.7233 clips/s=228.6
step 1550/5000 lr=6.20e-05 loss=0.7038 clips/s=216.7
step 1600/5000 lr=6.40e-05 loss=0.7348 clips/s=220.9
step 1650/5000 lr=6.60e-05 loss=0.7234 clips/s=183.3
step 1700/5000 lr=6.80e-05 loss=0.6728 clips/s=228.6
step 1750/5000 lr=7.00e-05 loss=0.6998 clips/s=216.4
step 1800/5000 lr=7.20e-05 loss=0.6721 clips/s=216.9
step 1850/5000 lr=7.40e-05 loss=0.6760 clips/s=181.4
step 1900/5000 lr=7.60e-05 loss=0.6284 clips/s=235.5
step 1950/5000 lr=7.80e-05 loss=0.6359 clips/s=221.0
step 2000/5000 lr=8.00e-05 loss=0.6266 clips/s=223.5
step 2050/5000 lr=8.20e-05 loss=0.6325 clips/s=164.9
step 2100/5000 lr=8.40e-05 loss=0.6279 clips/s=242.0
step 2150/5000 lr=8.60e-05 loss=0.6476 clips/s=216.3
step 2200/5000 lr=8.80e-05 loss=0.6010 clips/s=215.9
step 2250/5000 lr=9.00e-05 loss=0.6134 clips/s=176.9
step 2300/5000 lr=9.20e-05 loss=0.5924 clips/s=250.9
step 2350/5000 lr=9.40e-05 loss=0.5495 clips/s=220.9
step 2400/5000 lr=9.60e-05 loss=0.5390 clips/s=224.0
step 2450/5000 lr=9.80e-05 loss=0.5698 clips/s=180.8
step 2500/5000 lr=1.00e-04 loss=0.5683 clips/s=241.0
step 2550/5000 lr=1.02e-04 loss=0.5733 clips/s=209.3
step 2600/5000 lr=1.04e-04 loss=0.5455 clips/s=219.1
step 2650/5000 lr=1.06e-04 loss=0.5113 clips/s=166.9
