dataset active_matter: 12950 clips, spec=ClipSpec(n_channels=11, n_frames=8, height=256, width=256)
model: mae, 26.4M trainable params
step 50/5000 lr=9.80e-07 loss=1.3271 clips/s=67.1
step 100/5000 lr=1.98e-06 loss=1.3034 clips/s=254.4
step 150/5000 lr=2.98e-06 loss=1.2704 clips/s=220.0
step 200/5000 lr=3.98e-06 loss=1.2363 clips/s=216.1
step 250/5000 lr=4.98e-06 loss=1.2023 clips/s=198.9
step 300/5000 lr=5.98e-06 loss=1.1697 clips/s=223.2
step 350/5000 lr=6.98e-06 loss=1.1366 clips/s=223.9
step 400/5000 lr=7.98e-06 loss=1.1059 clips/s=225.4
step 450/5000 lr=8.98e-06 loss=1.0775 clips/s=202.4
step 500/5000 lr=9.98e-06 loss=1.0541 clips/s=226.6
step 550/5000 lr=1.10e-05 loss=1.0346 clips/s=224.5
step 600/5000 lr=1.20e-05 loss=1.0206 clips/s=224.8
step 650/5000 lr=1.30e-05 loss=1.0109 clips/s=202.9
step 700/5000 lr=1.40e-05 loss=1.0051 clips/s=225.1
step 750/5000 lr=1.50e-05 loss=1.0013 clips/s=221.0
step 800/5000 lr=1.60e-05 loss=0.9993 clips/s=223.7
step 850/5000 lr=1.70e-05 loss=0.9982 clips/s=203.2
step 900/5000 lr=1.80e-05 loss=0.9919 clips/s=216.9
step 950/5000 lr=1.90e-05 loss=0.9890 clips/s=216.7
step 1000/5000 lr=2.00e-05 loss=0.9814 clips/s=214.8
step 1050/5000 lr=2.10e-05 loss=0.9695 clips/s=201.6
step 1100/5000 lr=2.20e-05 loss=0.9467 clips/s=223.4
step 1150/5000 lr=2.30e-05 loss=0.9579 clips/s=223.0
step 1200/5000 lr=2.40e-05 loss=0.9349 clips/s=219.9
step 1250/5000 lr=2.50e-05 loss=0.9214 clips/s=201.3
step 1300/5000 lr=2.60e-05 loss=0.9022 clips/s=177.2
step 1350/5000 lr=2.70e-05 loss=0.8990 clips/s=218.8
step 1400/5000 lr=2.80e-05 loss=0.8626 clips/s=223.1
step 1450/5000 lr=2.90e-05 loss=0.8491 clips/s=204.2
step 1500/5000 lr=3.00e-05 loss=0.8320 clips/s=215.6
step 1550/5000 lr=3.10e-05 loss=0.8056 clips/s=224.7
step 1600/5000 lr=3.20e-05 loss=0.8231 clips/s=224.5
step 1650/5000 lr=3.30e-05 loss=0.8065 clips/s=193.5
step 1700/5000 lr=3.40e-05 loss=0.7576 clips/s=233.2
step 1750/5000 lr=3.50e-05 loss=0.7896 clips/s=217.1
step 1800/5000 lr=3.60e-05 loss=0.7607 clips/s=221.4
step 1850/5000 lr=3.70e-05 loss=0.7698 clips/s=199.7
step 1900/5000 lr=3.80e-05 loss=0.7344 clips/s=226.9
step 1950/5000 lr=3.90e-05 loss=0.7485 clips/s=221.3
step 2000/5000 lr=4.00e-05 loss=0.7302 clips/s=219.7
step 2050/5000 lr=4.10e-05 loss=0.7342 clips/s=180.0
step 2100/5000 lr=4.20e-05 loss=0.7301 clips/s=249.7
step 2150/5000 lr=4.30e-05 loss=0.7519 clips/s=222.6
step 2200/5000 lr=4.40e-05 loss=0.7056 clips/s=225.7
step 2250/5000 lr=4.50e-05 loss=0.7280 clips/s=181.3
step 2300/5000 lr=4.60e-05 loss=0.7036 clips/s=255.7
step 2350/5000 lr=4.70e-05 loss=0.6696 clips/s=223.3
step 2400/5000 lr=4.80e-05 loss=0.6576 clips/s=226.3
step 2450/5000 lr=4.90e-05 loss=0.6826 clips/s=170.0
step 2500/5000 lr=5.00e-05 loss=0.6776 clips/s=268.1
step 2550/5000 lr=5.10e-05 loss=0.6792 clips/s=211.2
step 2600/5000 lr=5.20e-05 loss=0.6454 clips/s=221.0
step 2650/5000 lr=5.30e-05 loss=0.6160 clips/s=182.3
step 2700/5000 lr=5.40e-05 loss=0.6147 clips/s=258.3
step 2750/5000 lr=5.50e-05 loss=0.6779 clips/s=222.9
step 2800/5000 lr=5.60e-05 loss=0.6393 clips/s=220.8
step 2850/5000 lr=5.70e-05 loss=0.6583 clips/s=171.9
step 2900/5000 lr=5.80e-05 loss=0.6133 clips/s=279.1
step 2950/5000 lr=5.90e-05 loss=0.6309 clips/s=227.5
