objective	family	representation	method	target_offset	target	sigma	metric	mean	std	n	status
jepa	physics	pooled	ridge_plus_control	0	convective_flux		test_log_mse	-6.515704334484169		1	ok
jepa	physics	pooled	selected	0	convective_flux		test_vrmse	0.12223849151735852		1	ok
jepa	physics	pooled	selected	0	convective_flux		test_r2	0.9850577511915607		1	ok
jepa	physics	pooled	selected	0	convective_flux		test_pearson_r	0.9926046422489468		1	ok
jepa	physics	pooled	selected	0	convective_flux		test_mse	2.6661195526257135e-07		1	ok
jepa	physics	pooled	selected	0	convective_flux		test_log_mse	-6.574120380097884		1	ok
jepa	physics	pooled	mlp	0	enstrophy		test_vrmse	0.0858961118691177		1	ok
jepa	physics	pooled	mlp	0	enstrophy		test_r2	0.992621857965768		1	ok
jepa	physics	pooled	mlp	0	enstrophy		test_pearson_r	0.9965174164369707		1	ok
jepa	physics	pooled	mlp	0	enstrophy		test_mse	12.2720962112639		1	ok
jepa	physics	pooled	mlp	0	enstrophy		test_log_mse	1.0889187514172605		1	ok
jepa	physics	pooled	ridge	0	enstrophy		test_vrmse	0.1687950914439311		1	ok
jepa	physics	pooled	ridge	0	enstrophy		test_r2	0.9715082171044349		1	ok
jepa	physics	pooled	ridge	0	enstrophy		test_pearson_r	0.985759447873703		1	ok
jepa	physics	pooled	ridge	0	enstrophy		test_mse	47.390508247543416		1	ok
jepa	physics	pooled	ridge	0	enstrophy		test_log_mse	1.6756913663892075		1	ok
jepa	physics	pooled	ridge_plus_control	0	enstrophy		test_vrmse	0.14340001309537007		1	ok
jepa	physics	pooled	ridge_plus_control	0	enstrophy		test_r2	0.9794364362442477		1	ok
jepa	physics	pooled	ridge_plus_control	0	enstrophy		test_pearson_r	0.9897195706641425		1	ok
jepa	physics	pooled	ridge_plus_control	0	enstrophy		test_mse	34.20346635863054		1	ok
jepa	physics	pooled	ridge_plus_control	0	enstrophy		test_log_mse	1.5340701219666428		1	ok
jepa	physics	pooled	selected	0	enstrophy		test_vrmse	0.0858961118691177		1	ok
jepa	physics	pooled	selected	0	enstrophy		test_r2	0.992621857965768		1	ok
jepa	physics	pooled	selected	0	enstrophy		test_pearson_r	0.9965174164369707		1	ok
jepa	physics	pooled	selected	0	enstrophy		test_mse	12.2720962112639		1	ok
jepa	physics	pooled	selected	0	enstrophy		test_log_mse	1.0889187514172605		1	ok
jepa	physics	pooled	mlp	0	pressure_gradient_magnitude		test_vrmse	0.04659785764072832		1	ok
jepa	physics	pooled	mlp	0	pressure_gradient_magnitude		test_r2	0.9978286396632944		1	ok
jepa	physics	pooled	mlp	0	pressure_gradient_magnitude		test_pearson_r	0.9989149118856937		1	ok
jepa	physics	pooled	mlp	0	pressure_gradient_magnitude		test_mse	0.00022697252732114403		1	ok
jepa	physics	pooled	mlp	0	pressure_gradient_magnitude		test_log_mse	-3.644026706484751		1	ok
jepa	physics	pooled	ridge	0	pressure_gradient_magnitude		test_vrmse	0.05286156778376697		1	ok
jepa	physics	pooled	ridge	0	pressure_gradient_magnitude		test_r2	0.9972056546514422		1	ok
jepa	physics	pooled	ridge	0	pressure_gradient_magnitude		test_pearson_r	0.9986032512443183		1	ok
jepa	physics	pooled	ridge	0	pressure_gradient_magnitude		test_mse	0.00029209321697960176		1	ok
jepa	physics	pooled	ridge	0	pressure_gradient_magnitude		test_log_mse	-3.5344785281429636		1	ok
jepa	physics	pooled	ridge_plus_control	0	pressure_gradient_magnitude		test_vrmse	0.05098675470727272		1	ok
jepa	physics	pooled	ridge_plus_control	0	pressure_gradient_magnitude		test_r2	0.9974003508444204		1	ok
jepa	physics	pooled	ridge_plus_control	0	pressure_gradient_magnitude		test_pearson_r	0.9987005471602098		1	ok
jepa	physics	pooled	ridge_plus_control	0	pressure_gradient_magnitude		test_mse	0.00027174160318568286		1	ok
jepa	physics	pooled	ridge_plus_control	0	pressure_gradient_magnitude		test_log_mse	-3.5658438667318766		1	ok
jepa	physics	pooled	selected	0	pressure_gradient_magnitude		test_vrmse	0.04659785764072832		1	ok
jepa	physics	pooled	selected	0	pressure_gradient_magnitude		test_r2	0.9978286396632944		1	ok
jepa	physics	pooled	selected	0	pressure_gradient_magnitude		test_pearson_r	0.9989149118856937		1	ok
jepa	physics	pooled	selected	0	pressure_gradient_magnitude		test_mse	0.00022697252732114403		1	ok
jepa	physics	pooled	selected	0	pressure_gradient_magnitude		test_log_mse	-3.644026706484751		1	ok
jepa	physics	pooled	mlp	16	buoyancy_gradient_energy		test_vrmse	0.15375516774128478		1	ok
jepa	physics	pooled	mlp	16	buoyancy_gradient_energy		test_r2	0.9763593483928494		1	ok
jepa	physics	pooled	mlp	16	buoyancy_gradient_energy		test_pearson_r	0.9895200070185634		1	ok
jepa	physics	pooled	mlp	16	buoyancy_gradient_energy		test_mse	69.90906443391926		1	ok
jepa	physics	pooled	mlp	16	buoyancy_gradient_energy		test_log_mse	1.8445334901721337		1	ok
jepa	physics	pooled	ridge	16	buoyancy_gradient_energy		test_vrmse	0.20263046276150262		1	ok
jepa	physics	pooled	ridge	16	buoyancy_gradient_energy		test_r2	0.9589408955610593		1	ok
jepa	physics	pooled	ridge	16	buoyancy_gradient_energy		test_pearson_r	0.9796530607335384		1	ok
jepa	physics	pooled	ridge	16	buoyancy_gradient_energy		test_mse	121.41812440367384		1	ok
jepa	physics	pooled	ridge	16	buoyancy_gradient_energy		test_log_mse	2.0842835198610437		1	ok
jepa	physics	pooled	ridge_plus_control	16	buoyancy_gradient_energy		test_vrmse	0.18896868170222914		1	ok
jepa	physics	pooled	ridge_plus_control	16	buoyancy_gradient_energy		test_r2	0.9642908373357216		1	ok
jepa	physics	pooled	ridge_plus_control	16	buoyancy_gradient_energy		test_pearson_r	0.9822549584786272		1	ok
jepa	physics	pooled	ridge_plus_control	16	buoyancy_gradient_energy		test_mse	105.59751884433058		1	ok
jepa	physics	pooled	ridge_plus_control	16	buoyancy_gradient_energy		test_log_mse	2.023653713984961		1	ok
jepa	physics	pooled	selected	16	buoyancy_gradient_energy		test_vrmse	0.15375516774128478		1	ok
jepa	physics	pooled	selected	16	buoyancy_gradient_energy		test_r2	0.9763593483928494		1	ok
jepa	physics	pooled	selected	16	buoyancy_gradient_energy		test_pearson_r	0.9895200070185634		1	ok
jepa	physics	pooled	selected	16	buoyancy_gradient_energy		test_mse	69.90906443391926		1	ok
